127.0.0.1 - - [09/Nov/2022:09:10:38 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:10:47 +0900] "GET /MainPage HTTP/1.1" 200 29809
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:10:48 +0900] "GET /resources/img/bb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:11:18 +0900] "POST /MainPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:11:18 +0900] "GET /book?depart=GMP&arrive=GMP&publeYear=2022-11-01 HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:11:28 +0900] "GET /MainPage HTTP/1.1" 200 29809
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:11:54 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:01 +0900] "GET /Login? HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:04 +0900] "POST /Login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:07 +0900] "POST /Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:07 +0900] "GET /MainPage HTTP/1.1" 200 29958
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:23 +0900] "GET /Login? HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:29 +0900] "GET /SignUp? HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:12:31 +0900] "GET /Login? HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:15:21 +0900] "GET /Login? HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:06 +0900] "POST /Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:06 +0900] "GET /MainPage HTTP/1.1" 200 29958
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:16 +0900] "POST /MainPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:16 +0900] "GET /book?depart=PUS&arrive=HKG&publeYear=2022-11-09 HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:16 +0900] "GET /resources/img/HKG.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:16 +0900] "GET /resources/img/ABL.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:51 +0900] "GET /book?depart=PUS&arrive=HKG&publeYear=2022-11-09 HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:16:51 +0900] "GET /resources/img/HKG.jpg HTTP/1.1" 200 266185
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:17:04 +0900] "GET /Logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:17:04 +0900] "GET /MainPage?logout HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:17:05 +0900] "GET /SignUp? HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:17:07 +0900] "GET /Login? HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:19:25 +0900] "GET /Login? HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:19:26 +0900] "GET /Login? HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:19:32 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:09 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:10 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:12 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:13 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:18 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:23 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:20:25 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:21:06 +0900] "GET /MainPage HTTP/1.1" 200 29879
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:21:09 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:22:41 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:22:58 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:37 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:38 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:39 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:41 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:41 +0900] "GET /Login? HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2022:09:23:42 +0900] "GET /Login? HTTP/1.1" 200 1760
